State,District,Latitude,Longitude,District code,State name,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,ST,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Total_Power_Parity,sex_ratio,literacy_rate
Uttar Pradesh,Muzaffarnagar,29.470507977736563,77.64017847866423,133,UTTAR PRADESH,4143512,2193434,1950078,2417339,1448528,968811,561250,317,2382914,1711453,6495,18601,1516,16345,60,368153,10077,56149,673746,296104,4871,100.0,58.0
Uttar Pradesh,Pilibhit,28.52024175035868,79.90103974175037,151,UTTAR PRADESH,2031007,1072002,959005,1061095,654290,406805,333558,1714,1449007,489686,3510,84787,360,138,45,83006,2870,18097,371752,89638,2125,100.0,52.0
Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492,131,RAJASTHAN,867848,437744,430104,401515,250122,151393,60429,550427,827293,25597,358,72,32,14077,27,71612,716,5961,209813,24269,2829,100.0,46.0
Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492,173,UTTAR PRADESH,3209141,1606085,1603056,1931559,1121381,810178,709252,723,2731351,452394,3920,1451,7795,746,43,140538,5149,34400,711085,41701,3639,100.0,60.0
Uttar Pradesh,Rae Bareli,26.253902840059787,81.22260463378181,158,UTTAR PRADESH,3405559,1752542,1653017,1965843,1165965,799878,1030367,1756,2975998,413243,3634,2424,722,397,602,247856,5184,34788,705025,73393,3812,100.0,58.0
Uttar Pradesh,Rampur,28.83244727272725,79.10977333333337,136,UTTAR PRADESH,2335819,1223889,1111930,1043666,630408,413258,307936,358,1073890,1181337,9201,65316,384,1307,63,131112,3847,25960,396775,143217,2545,100.0,45.0
Uttar Pradesh,Saharanpur,30.03381165217392,77.59905147826095,132,UTTAR PRADESH,3466382,1834106,1632276,2077108,1220114,856994,764450,980,1966892,1454052,6523,18627,1937,10208,135,404499,9699,38816,605082,284156,4029,100.0,60.0
Uttar Pradesh,Sant Kabir Nagar,26.791596516393444,83.0387764344262,186,UTTAR PRADESH,1715183,869656,845527,954949,567098,387851,369039,1593,1300586,404410,1766,447,4393,95,35,79525,2031,19729,324972,27179,1850,100.0,56.0
Uttar Pradesh,Shahjahanpur,27.991389350649328,79.8302275324675,152,UTTAR PRADESH,3006538,1606403,1400135,1490930,915142,575788,532673,508,2412595,527581,4630,51090,2312,301,84,115163,3889,27533,520289,134714,3441,100.0,50.0
Uttar Pradesh,Sitapur,27.501995963091108,80.85288881199547,154,UTTAR PRADESH,4483992,2375264,2108728,2283733,1397702,886031,1446427,1602,3555450,893725,6579,11611,2663,1410,79,102040,3874,34609,827583,111319,4535,100.0,51.0
Uttar Pradesh,Sonbhadra,24.46693268858798,83.06816324951639,200,UTTAR PRADESH,1862559,971344,891215,985708,601988,383720,421661,385018,1738769,103567,3963,1649,1747,487,1907,95582,5149,25220,337048,91040,2337,100.0,53.0
Uttar Pradesh,Sultanpur,26.2846386419753,82.05710456790123,179,UTTAR PRADESH,3797117,1914586,1882531,2239902,1300248,939654,851587,696,3119590,650261,4453,1629,9989,426,336,233701,5956,44008,839737,49891,4190,100.0,59.0
Uttar Pradesh,Unnao,26.63163990895297,80.636773292868,156,UTTAR PRADESH,3108367,1630087,1478280,1773584,1053063,720521,948588,2926,2732016,363453,3574,1204,920,240,31,99466,3476,28719,596317,121039,3620,100.0,57.0
Uttar Pradesh,Varanasi,25.36057088888889,82.82529666666672,197,UTTAR PRADESH,3676841,1921857,1754984,2403903,1389116,1014787,486958,28617,3107681,546987,7696,3309,1146,1898,298,336056,19214,57583,438935,316129,5059,100.0,65.0
Uttaranchal,Almora,29.683532133676103,79.50165064267351,64,UTTARAKHAND,622506,291081,331425,436497,231604,204893,150995,1281,611250,7752,1895,256,201,31,6,109876,1830,9858,260056,21082,742,100.0,70.0
Uttaranchal,Bageshwar,29.98703393393397,79.83954354354357,63,UTTARAKHAND,259898,124326,135572,179483,97546,81937,72061,1982,257509,1440,397,46,102,7,16,47083,435,3595,96031,3880,281,100.0,69.0
Uttaranchal,Chamoli,30.58338611464965,79.56281095541402,57,UTTARAKHAND,391605,193991,197614,280556,155395,125161,79317,12260,385818,4395,428,323,190,11,23,71524,899,5582,163434,22906,467,100.0,72.0
Uttaranchal,Champawat,29.29142393939393,80.07720212121217,65,UTTARAKHAND,259648,131125,128523,177726,102015,75711,47383,1339,249563,8693,870,336,24,28,6,37725,548,3159,85202,12839,309,100.0,68.0
Uttaranchal,Pithoragarh,30.14720631868129,80.34229230769236,62,UTTARAKHAND,483439,239306,244133,345550,189623,155927,120378,19535,475105,6015,1401,260,185,13,30,95421,1344,7932,183687,26256,631,100.0,71.0
Uttaranchal,Tehri Garhwal,30.463700918635173,78.48783792650917,59,UTTARAKHAND,618931,297986,320945,407994,227406,180588,102130,875,609835,7374,656,290,32,91,109,117239,1366,7831,227059,27177,743,100.0,66.0
Uttaranchal,Udham Singh Nagar,29.02779577677222,79.45629004524895,67,UTTARAKHAND,1648902,858783,790119,1037839,598525,439314,238264,123037,1104452,372267,6064,162768,505,738,159,254802,7883,28053,269406,145253,1805,100.0,63.0
Uttaranchal,Uttarkashi,30.968958552036234,78.56880615384617,56,UTTARAKHAND,330086,168597,161489,215126,128237,86889,80567,3512,324859,3554,353,167,563,74,105,52621,602,4104,112148,9061,356,100.0,65.0
West Bengal,Bankura,23.081280892857155,87.12640053571437,339,WEST BENGAL,3596674,1838095,1758579,2232992,1299337,933655,1174447,368690,3033581,290450,3865,386,260,2904,260694,334670,4273,34128,900515,90885,3959,100.0,62.0
West Bengal,Barddhaman,23.444453888888884,87.8150581111111,335,WEST BENGAL,7717563,3966889,3750674,5247208,2918040,2329168,2115719,489447,6008472,1599764,21220,16675,1602,1674,44968,1049943,32323,141387,1364868,862368,13547,100.0,68.0
West Bengal,Birbhum,24.06389342723,87.65153089201888,334,WEST BENGAL,3502404,1790920,1711484,2158447,1201481,956966,1033140,242484,2181515,1298054,10906,582,258,1152,6051,333752,5210,39636,831044,134565,3911,100.0,62.0
West Bengal,Dakshin Dinajpur,25.342094363021435,88.69821679819614,331,WEST BENGAL,1676276,857199,819077,1083685,596474,487211,482754,275366,1232850,412788,24794,276,148,323,2786,168069,2518,24318,390949,70077,2039,100.0,65.0
West Bengal,Darjiling,26.839619571045585,88.33145067024122,327,WEST BENGAL,1846823,937259,909564,1315585,717673,597912,317275,397389,1366681,105086,141848,2032,209240,1840,15523,297176,10943,38065,303284,215675,3146,100.0,71.0
West Bengal,Haora,22.401674174428507,87.99421176968654,341,WEST BENGAL,4850029,2500819,2349210,3605206,1942824,1662382,718951,15094,3535844,1270641,8666,4380,1258,9699,1265,796953,30751,99261,483384,869313,9414,100.0,74.0
West Bengal,Hugli,22.87929264705881,88.00010264705891,338,WEST BENGAL,5519145,2814653,2704492,4078388,2211777,1866611,1344021,229243,4574569,870204,7300,2662,1730,2160,49050,965258,31725,118459,992085,647953,9450,100.0,74.0
West Bengal,Jalpaiguri,26.62642031250004,89.04154375000003,328,WEST BENGAL,3872846,1983064,1889782,2498780,1396622,1102158,1458278,731704,3156781,445817,186279,2994,50676,1461,23816,382500,9322,48818,798378,319426,5160,100.0,65.0
West Bengal,Kolkata,22.550581481481483,88.3527648148148,342,WEST BENGAL,4496694,2356766,2139928,3588137,1926915,1661222,241932,10684,3440290,926414,39758,13849,4771,21178,1452,927602,136618,252644,0,1308106,16375,100.0,80.0
West Bengal,Maldah,25.08026802575105,88.17191684549356,332,WEST BENGAL,3988845,2051541,1937304,2086432,1152019,934413,835430,313984,1914352,2045151,13209,747,359,639,7929,297716,5357,63525,830318,128678,4191,100.0,52.0
West Bengal,Murshidabad,24.25950655391121,88.16816860465121,333,WEST BENGAL,7103807,3627564,3476243,4055834,2177187,1878647,897534,91035,2359061,4707573,18102,766,348,3037,7429,541169,7951,79729,1501066,350899,8088,100.0,57.0
West Bengal,Nadia,23.56410971055088,88.58293034547152,336,WEST BENGAL,5167600,2653768,2513832,3480555,1878866,1601689,1546917,140700,3728482,1382682,33835,849,514,281,16893,623729,12787,77210,1081381,468390,7048,100.0,67.0
West Bengal,Puruliya,23.254192328767108,86.3968532876713,340,WEST BENGAL,2930115,1496996,1433119,1624905,1002058,622847,567767,540652,2373120,227249,8646,622,209,3052,309029,189889,3551,32862,653219,99433,3309,100.0,55.0
West Bengal,Uttar Dinajpur,26.044619165196977,88.23595232216337,330,WEST BENGAL,3007134,1551066,1456068,1489667,853495,636172,807950,162816,1482943,1501170,16702,477,432,1324,1622,199307,2883,31210,683981,94269,3214,100.0,50.0
